     h2-eth0      
 KB/s in  KB/s out
    2.79      1.59
   17.40      3.65
   54.39      1.46
  109.20      0.18
  124.20      1.15
  134.29      0.00
  133.26      0.00
  167.14      0.00
  151.14      0.00
  175.69      0.00
  159.53      0.22
  117.17      0.00
  152.89      0.00
  222.41      0.00
  212.93      0.00
  222.24      0.00
  187.93      0.00
  236.76      0.00
  181.09      0.00
  123.34      0.00
   51.55      0.00
   63.36      0.00
     h2-eth0      
 KB/s in  KB/s out
   62.63      0.00
   48.29      0.00
   27.50      0.00
  192.08      0.14
  395.92      0.00
  326.77      0.00
  256.58      0.00
  134.99      0.00
  108.93      0.00
   89.64      0.00
   86.64      0.00
   70.44      0.00
   68.57      0.00
   64.63      0.00
   58.29      0.00
   60.87      0.00
   62.63      0.00
   66.78      0.00
   54.27      0.00
   56.00      0.00
   49.83      0.00
   49.74      0.00
     h2-eth0      
 KB/s in  KB/s out
   49.59      0.00
   44.92      0.00
   51.21      0.00
   45.95      0.00
   58.31      0.00
   77.76      0.00
   99.30      0.00
   76.81      0.00
   89.80      0.00
   80.55      0.00
   89.98      0.00
   96.05      0.00
   90.13      0.00
   74.64      0.14
   72.14      0.00
   76.13      0.00
   68.16      0.00
   62.00      0.00
   70.28      0.00
   66.25      0.00
   55.59      0.00
   50.48      0.00
     h2-eth0      
 KB/s in  KB/s out
   55.90      0.00
   50.86      0.00
  179.44      0.00
 1220.14      0.00
 1215.31      0.00
 1219.49      0.00
 1221.16      0.00
 1220.84      0.00
 1221.43      0.00
 1220.75      0.00
 1220.16      0.00
  313.73      0.00
  130.49      0.00
  126.53      0.00
  177.72      0.00
  160.35      0.00
  179.70      0.00
  167.04      0.08
  173.67      0.00
  137.51      0.00
  105.00      0.00
   97.14      0.00
     h2-eth0      
 KB/s in  KB/s out
  108.76      0.00
  100.88      0.00
  122.03      0.00
   99.46      0.00
  117.10      0.00
   81.85      0.00
   89.07      0.00
   45.85      0.00
   41.69      0.00
   32.78      0.00
  118.00      0.00
  109.68      0.00
   19.75      0.00
  112.94      0.00
   14.02      0.00
   10.55      0.00
    7.33      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
     h2-eth0      
 KB/s in  KB/s out
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.14      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.14
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.40      0.00
    0.40      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
     h2-eth0      
 KB/s in  KB/s out
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.41      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.14      0.00
    0.00      0.00
