     s1-eth3      
 KB/s in  KB/s out
    6.37     33.62
    0.69     41.45
    1.46    106.97
    1.83    117.86
    2.35    135.10
    0.97    134.11
    0.00    163.88
    0.40    154.45
    0.08    676.84
    0.40    642.82
    0.22    617.23
    0.67    632.16
    0.00    708.79
    0.00    702.33
    0.00    693.16
    0.00    693.97
    0.00    713.53
    0.40    682.83
    0.00    610.27
    0.00    549.12
    0.00    549.57
    0.00    551.36
     s1-eth3      
 KB/s in  KB/s out
    0.00    540.14
    0.00    517.57
    0.00    655.03
    0.14    875.88
    0.00    822.93
    0.00    857.43
    0.27    689.83
    0.00    666.85
    0.00    645.45
    0.00    643.20
    0.00    552.98
    0.40    757.09
    0.00    745.83
    0.00    602.79
    0.00    567.80
    0.00    831.30
    0.00    892.38
    0.00   1024.62
    0.00   1055.75
    0.00    994.75
    0.00    897.67
    0.00    596.34
     s1-eth3      
 KB/s in  KB/s out
    0.00    669.61
    0.00    825.43
    0.00    896.05
    0.00    813.52
    1.99    782.83
    0.00    507.33
    0.00    346.57
    0.00    327.98
    0.00    264.29
    0.00    264.07
    0.14    295.07
    0.00    210.47
    0.00     80.89
    0.00    243.01
    0.00    326.11
    0.08    256.26
    0.27    476.58
    0.00    412.63
    0.00    273.11
    0.00    307.72
    0.00    187.82
    0.40    275.97
     s1-eth3      
 KB/s in  KB/s out
    0.00    276.47
    0.00    267.33
    0.00    204.75
    0.00    304.03
    0.00    233.07
    0.00    207.42
    0.00    120.99
    0.00    129.44
    0.00    126.36
    0.00    148.95
    0.00    123.07
    0.00    129.65
    0.00    123.18
    0.00    180.85
    0.00    157.00
    0.00    178.83
    0.00    168.83
    0.00    172.49
    0.00    144.09
    0.00    104.90
    0.00     96.47
    0.00    109.97
     s1-eth3      
 KB/s in  KB/s out
    0.00    100.82
    0.00    117.91
    0.00    102.30
    0.00    118.17
    0.00     84.40
    0.08     75.86
    0.00     63.20
    0.00     32.01
    0.00     40.73
    0.00    121.15
    0.00    108.44
    0.00     20.99
    0.00    111.84
    0.00     21.27
    0.00     19.05
    0.00      7.83
    0.00      0.00
    0.00      0.00
    0.00      0.14
    0.00      0.00
    0.00      0.00
    0.14      0.00
     s1-eth3      
 KB/s in  KB/s out
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.14
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
